OBJECTID,COLDETKEY,ST_PARTCPNT_TYPE_DESC,ST_POSTEDSPD,ST_RDSURF_DESC,ST_TRAFCONTRL_DESC,ST_VEH_ACT_DESC,ST_VEH_CND_DESC,ST_VEH_TYPE_DESC,Incident Date,Report Number,x,y
1705287,386637,Vehicle,25,Blacktop,Signals,Making Right Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/18/2025,EF97872,-122.2962029,47.57835283
1705288,386168,Vehicle,25,Blacktop,Stop Sign,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/27/2025,EF64790,-122.2985231,47.66852853
1705289,386168,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,1/27/2025,EF64790,-122.2985231,47.66852853
1705290,386796,Vehicle,,Concrete,Signals,Going Straight Ahead,No Defects,Passenger Car,5/17/2025,EG01179,-122.3169799,47.60085854
1705291,386796,Vehicle,,Concrete,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/17/2025,EG01179,-122.3169799,47.60085854
1705292,386558,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/19/2025,EF94645,-122.3414414,47.66067809
1705293,386558,Vehicle,,,,"Legally Parked, Unoccupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/19/2025,EF94645,-122.3414414,47.66067809
1705294,386243,Vehicle,30,Concrete,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/11/2025,EF68057,-122.3390871,47.57151214
1705296,386500,Vehicle,,Concrete,No Traffic Control,Making Right Turn,No Defects,Truck Tractor and Semi-Trailer,3/4/2025,EF75149,-122.334227,47.54938519
1705305,386284,Vehicle,,Blacktop,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/21/2025,EF69776,-122.3372369,47.55381898
1705306,386284,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Truck (Flatbed, Van, etc)",2/21/2025,EF69776,-122.3372369,47.55381898
1705307,386320,Vehicle,25,Blacktop,Signals,Slowing,No Defects,Passenger Car,2/25/2025,EF70339,-122.3478164,47.73413469
1705308,386320,Vehicle,25,Blacktop,Signals,Making Left Turn,No Defects,Passenger Car,2/25/2025,EF70339,-122.3478164,47.73413469
1705309,386249,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,1/9/2025,EF61174,-122.3604482,47.53278992
1705310,386249,Vehicle,,,,"Legally Parked, Unoccupied",,Passenger Car,1/9/2025,EF61174,-122.3604482,47.53278992
1705311,386787,Vehicle,40,Concrete,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,3/28/2025,EF83739,-122.3342025,47.57158386
1705312,386787,Vehicle,40,Concrete,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,3/28/2025,EF83739,-122.3342025,47.57158386
1705313,386233,Vehicle,25,Concrete,Signals,Going Straight Ahead,No Defects,Passenger Car,2/11/2025,EF67711,-122.3528542,47.61859771
1705314,386233,Vehicle,25,Concrete,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/11/2025,EF67711,-122.3528542,47.61859771
1705315,386726,Vehicle,,Concrete,Signals,Going Straight Ahead,No Defects,Passenger Car,5/30/2025,EF99332,-122.3359256,47.60005179
1705316,386133,Vehicle,,Unknown,No Traffic Control,Other,No Defects,Not Stated,5/5/2025,EF91050,-122.3266275,47.60675507
1705317,386133,Vehicle,,,,"Legally Parked, Unoccupied",,Passenger Car,5/5/2025,EF91050,-122.3266275,47.60675507
1705318,386803,Vehicle,25,Concrete,Stop Sign,Making Left Turn,No Defects,Passenger Car,1/29/2025,EF86664,-122.2880258,47.56346233
1705319,386803,Vehicle,25,Concrete,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/29/2025,EF86664,-122.2880258,47.56346233
1705320,386144,Vehicle,35,Concrete,No Traffic Control,Making Left Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/31/2025,EF63326,-122.3288947,47.73410056
1705321,386144,Vehicle,35,Concrete,No Traffic Control,Stopped for Traffic,No Defects,Passenger Car,1/31/2025,EF63326,-122.3288947,47.73410056
1705322,386610,Vehicle,20,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,5/26/2025,EF97403,-122.3477702,47.73032226
1705323,386610,Vehicle,,,,"Legally Parked, Unoccupied",,Passenger Car,5/26/2025,EF97403,-122.3477702,47.73032226
1705324,386610,Vehicle,,,,"Legally Parked, Unoccupied",,Passenger Car,5/26/2025,EF97403,-122.3477702,47.73032226
1705325,386342,Vehicle,25,Blacktop,Stop Sign,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/28/2025,EF72100,-122.4070765,47.6384964
1705326,386342,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/28/2025,EF72100,-122.4070765,47.6384964
1705327,386137,Vehicle,,,,Backing,,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/12/2025,EF62324,-122.3419765,47.65270798
1705328,386137,Vehicle,,,,"Legally Parked, Unoccupied",,Passenger Car,1/12/2025,EF62324,-122.3419765,47.65270798
1705333,386264,Vehicle,,Concrete,Signals,Making Left Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/22/2025,EF69028,-122.3268345,47.61708244
1705334,386264,Vehicle,,Blacktop,Signals,Going Straight Ahead,No Defects,Passenger Car,2/22/2025,EF69028,-122.3268345,47.61708244
1705335,386303,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/16/2025,EF70363,-122.2776789,47.5511817
1705336,386303,Vehicle,25,Blacktop,Signals,Stopped at Signal or Stop Sign,No Defects,Passenger Car,2/16/2025,EF70363,-122.2776789,47.5511817
1705337,386809,Vehicle,25,Blacktop,No Traffic Control,Starting in Traffic Lane,No Defects,Bus or Motor Stage,4/20/2025,EF87146,-122.355468,47.61860774
1705338,386809,Vehicle,,,,"Legally Parked, Occupied",,Passenger Car,4/20/2025,EF87146,-122.355468,47.61860774
1705341,386655,Vehicle,,Concrete,Signals,Going Straight Ahead,No Defects,Passenger Car,3/24/2025,EF79431,-122.3381355,47.57137409
1705342,386655,Vehicle,,Concrete,Signals,Stopped at Signal or Stop Sign,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/24/2025,EF79431,-122.3381355,47.57137409
1705343,386444,Vehicle,,Concrete,No Traffic Control,Changing Lanes,No Defects,Passenger Car,5/1/2025,EF93464,-122.3207862,47.61352519
1705344,386444,Vehicle,,Concrete,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,5/1/2025,EF93464,-122.3207862,47.61352519
1705347,386525,Vehicle,20,Blacktop,No Traffic Control,Making U-Turn,No Defects,Passenger Car,3/10/2025,EF75981,-122.3340158,47.70912226
1705348,386525,Vehicle,20,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Motorcycle,3/10/2025,EF75981,-122.3340158,47.70912226
1705349,386256,Vehicle,35,Blacktop,Signals,Making Left Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/23/2025,EF68300,-122.3478164,47.73413469
1705350,386256,Vehicle,35,Blacktop,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/23/2025,EF68300,-122.3478164,47.73413469
1705355,386493,Vehicle,,Concrete,Signals,Going Straight Ahead,No Defects,Passenger Car,5/18/2025,EF93471,-122.3424167,47.61855584
1705356,386493,Vehicle,,Concrete,Signals,Going Straight Ahead,No Defects,Passenger Car,5/18/2025,EF93471,-122.3424167,47.61855584
1705357,386314,Vehicle,,Concrete,Stop Sign,Going Straight Ahead,No Defects,Passenger Car,2/17/2025,EF70334,-122.3544806,47.65415765
1705358,386314,Vehicle,,Concrete,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/17/2025,EF70334,-122.3544806,47.65415765
1705367,386290,Vehicle,30,Blacktop,No Traffic Control,Changing Lanes,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/26/2025,EF69781,-122.3109642,47.59512196
1705368,386290,Vehicle,30,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/26/2025,EF69781,-122.3109642,47.59512196
1705369,386786,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,3/23/2025,EF85723,-122.2893051,47.61347445
1705370,386786,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,3/23/2025,EF85723,-122.2893051,47.61347445
1705371,386746,Vehicle,,Blacktop,Signals,Going Straight Ahead,No Defects,Passenger Car,3/22/2025,EF80570,-122.3266762,47.66499966
1705372,386746,Vehicle,,Blacktop,Signals,Going Straight Ahead,No Defects,Motorcycle,3/22/2025,EF80570,-122.3266762,47.66499966
1705373,386684,Vehicle,40,Blacktop,No Traffic Control,Making U-Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/25/2025,EF99185,-122.3355786,47.55066425
1705374,386684,Vehicle,40,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,5/25/2025,EF99185,-122.3355786,47.55066425
1705377,386666,Vehicle,25,Blacktop,No Traffic Control,Making Left Turn,No Defects,Passenger Car,5/20/2025,EF98836,-122.2639487,47.51998117
1705378,386666,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/20/2025,EF98836,-122.2639487,47.51998117
1705379,386583,Vehicle,,Blacktop,No Traffic Control,Backing,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/13/2025,EF96993,-122.3808871,47.6679528
1705380,386583,Vehicle,,,,"Legally Parked, Unoccupied",,Passenger Car,5/13/2025,EF96993,-122.3808871,47.6679528
1705381,386817,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,5/1/2025,EF88640,-122.3481483,47.68330653
1705382,386817,Vehicle,,,,"Legally Parked, Unoccupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/1/2025,EF88640,-122.3481483,47.68330653
1705383,386817,Vehicle,,,,"Legally Parked, Unoccupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/1/2025,EF88640,-122.3481483,47.68330653
1705384,386817,Vehicle,,,,"Legally Parked, Unoccupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/1/2025,EF88640,-122.3481483,47.68330653
1705385,386817,Vehicle,,,,"Legally Parked, Unoccupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/1/2025,EF88640,-122.3481483,47.68330653
1705386,386817,Vehicle,,,,"Legally Parked, Unoccupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/1/2025,EF88640,-122.3481483,47.68330653
1705390,386077,Vehicle,,Blacktop,Stop Sign,Making Left Turn,No Defects,Passenger Car,5/5/2025,EF90233,-122.3545178,47.64689379
1705391,386077,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,5/5/2025,EF90233,-122.3545178,47.64689379
1705392,386788,Vehicle,25,Blacktop,Signals,Going Straight Ahead,No Defects,Passenger Car,2/1/2025,EF83741,-122.2728225,47.54248168
1705393,386788,Vehicle,25,Blacktop,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/1/2025,EF83741,-122.2728225,47.54248168
1705394,386821,Vehicle,25,Concrete,Signals,Making Left Turn,No Defects,Passenger Car,5/6/2025,EG02532,-122.3446659,47.70143566
1705395,386821,Vehicle,,Concrete,Signals,Going Straight Ahead,No Defects,Passenger Car,5/6/2025,EG02532,-122.3446659,47.70143566
1705396,387099,Vehicle,25,Blacktop,Unknown,Changing Lanes,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",7/15/2025,3924467,-122.3541623,47.6186027
1705397,387099,Vehicle,25,Blacktop,Unknown,Starting in Traffic Lane,No Defects,Passenger Car,7/15/2025,3924467,-122.3541623,47.6186027
1705398,386643,Vehicle,20,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,2/12/2025,EF79751,-122.2859814,47.56075019
1705399,386643,Vehicle,,Blacktop,No Traffic Control,Stopped in Roadway,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/12/2025,EF79751,-122.2859814,47.56075019
1705400,386322,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Not Stated,2/4/2025,EF70341,-122.3104205,47.68875628
1705401,386322,Vehicle,,Blacktop,No Traffic Control,Stopped for Traffic,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/4/2025,EF70341,-122.3104205,47.68875628
1705402,386322,Vehicle,,Blacktop,No Traffic Control,Stopped at Signal or Stop Sign,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/4/2025,EF70341,-122.3104205,47.68875628
1705403,386700,Vehicle,,Blacktop,Stop Sign,Going Straight Ahead,No Defects,School Bus,4/7/2025,EF81697,-122.3346142,47.53470749
1705404,386700,Vehicle,,Blacktop,No Traffic Control,Merging (Entering Traffic),No Defects,Passenger Car,4/7/2025,EF81697,-122.3346142,47.53470749
1705405,386503,Vehicle,60,Concrete,No Traffic Control,Changing Lanes,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/7/2025,EF77956,-122.3338102,47.52696003
1705406,386503,Vehicle,60,Concrete,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/7/2025,EF77956,-122.3338102,47.52696003
1705407,386689,Vehicle,,Blacktop,Stop Sign,Making Left Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/29/2025,EF99189,-122.3263719,47.60003773
1705408,386437,Vehicle,,Blacktop,Stop Sign,Going Straight Ahead,No Defects,Passenger Car,3/6/2025,EF74729,-122.3237686,47.59835552
1705409,386437,Vehicle,,Blacktop,Stop Sign,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/6/2025,EF74729,-122.3237686,47.59835552
1705414,386685,Vehicle,25,Blacktop,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/28/2025,EF99188,-122.3379085,47.61649588
1705415,386366,Vehicle,20,Blacktop,No Traffic Control,Changing Lanes,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/26/2025,EF72398,-122.338666,47.60733726
1705416,386366,Vehicle,20,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/26/2025,EF72398,-122.338666,47.60733726
1705417,386003,Vehicle,20,Blacktop,No Traffic Control,Backing,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/31/2025,3937277,-122.2898745,47.5570607
1705418,386003,Vehicle,20,Blacktop,No Traffic Control,"Legally Parked, Unoccupied",No Defects,Passenger Car,5/31/2025,3937277,-122.2898745,47.5570607
1705419,386613,Vehicle,25,Concrete,No Traffic Control,Other,No Defects,Passenger Car,3/23/2025,EF79758,-122.3048626,47.58715643
1705426,386234,Vehicle,25,Blacktop,Signals,Going Straight Ahead,No Defects,Passenger Car,1/27/2025,EF67712,-122.3331187,47.60798514
1705427,386234,Vehicle,25,Blacktop,Signals,Going Straight Ahead,No Defects,Passenger Car,1/27/2025,EF67712,-122.3331187,47.60798514
1705428,386266,Vehicle,,Concrete,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/22/2025,EF69181,-122.3533804,47.61625872
1705429,386266,Vehicle,,Concrete,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/22/2025,EF69181,-122.3533804,47.61625872
1705434,385975,Vehicle,25,Blacktop,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/13/2025,EF57385,-122.331813,47.60655842
1705435,385975,Vehicle,25,Blacktop,Signals,Going Straight Ahead,No Defects,Passenger Car,1/13/2025,EF57385,-122.331813,47.60655842
1705442,386536,Vehicle,25,Blacktop,Signals,Going Straight Ahead,No Defects,Passenger Car,2/25/2025,EF74731,-122.3389185,47.60929082
1705443,385999,Vehicle,,Blacktop,Stop Sign,Making Right Turn,No Defects,Passenger Car,5/8/2025,3931779,-122.3029722,47.58672173
1705444,386258,Vehicle,,Blacktop,No Traffic Control,Starting From Parked Position,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/24/2025,EF68645,-122.3372918,47.68567301
1705445,386258,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/24/2025,EF68645,-122.3372918,47.68567301
1705446,386258,Vehicle,,,,"Legally Parked, Unoccupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/24/2025,EF68645,-122.3372918,47.68567301
1705449,386345,Vehicle,,Concrete,No Traffic Control,Changing Lanes,No Defects,Passenger Car,1/24/2025,EF70847,-122.3177808,47.65891693
1705450,386345,Vehicle,,Concrete,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,1/24/2025,EF70847,-122.3177808,47.65891693
1705451,386747,Vehicle,,Concrete,No Traffic Control,Making Left Turn,No Defects,Passenger Car,3/24/2025,EF80571,-122.3789028,47.66571517
1705452,386454,Vehicle,,Blacktop,Signals,Going Straight Ahead,No Defects,Passenger Car,2/8/2025,EF75050,-122.3736087,47.66366742
1705453,386454,Vehicle,,Blacktop,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/8/2025,EF75050,-122.3736087,47.66366742
1705454,386129,Vehicle,,Blacktop,No Traffic Control,Making Left Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/23/2025,EF61132,-122.3553919,47.69784428
1705455,386129,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/23/2025,EF61132,-122.3553919,47.69784428
1705456,386635,Vehicle,,,,"Legally Parked, Unoccupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/29/2025,EF97469,-122.3121938,47.65414112
1705457,386635,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/29/2025,EF97469,-122.3121938,47.65414112
1705458,386598,Vehicle,,Concrete,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/21/2025,EF97402,-122.3229712,47.66133903
1705459,386598,Vehicle,,Concrete,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/21/2025,EF97402,-122.3229712,47.66133903
1705460,386598,Vehicle,,Concrete,Signals,Stopped for Traffic,No Defects,Passenger Car,5/21/2025,EF97402,-122.3229712,47.66133903
1705464,385952,Vehicle,,Blacktop,Signals,Going Straight Ahead,No Defects,Passenger Car,4/30/2025,EF88639,-122.2785036,47.53219179
1705465,385952,Vehicle,,Blacktop,Signals,Stopped for Traffic,No Defects,Passenger Car,4/30/2025,EF88639,-122.2785036,47.53219179
1705466,386538,Vehicle,,Blacktop,Signals,Backing,No Defects,Passenger Car,1/26/2025,EF74734,-122.3364528,47.60363148
1705467,386538,Vehicle,,,,"Legally Parked, Occupied",,Passenger Car,1/26/2025,EF74734,-122.3364528,47.60363148
1705468,386557,Vehicle,25,Blacktop,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/23/2025,EF94582,-122.3207427,47.66132469
1705469,386557,Vehicle,20,Blacktop,Signals,Making Left Turn,No Defects,Passenger Car,5/23/2025,EF94582,-122.3207427,47.66132469
1705470,386132,Vehicle,,Blacktop,Signals,Going Straight Ahead,Defective Brakes,Passenger Car,5/6/2025,EF90983,-122.3237785,47.59583898
1705471,386132,Vehicle,25,Blacktop,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/6/2025,EF90983,-122.3237785,47.59583898
1705472,386132,Vehicle,,,,"Illegally Parked, Occupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/6/2025,EF90983,-122.3237785,47.59583898
1705474,386498,Vehicle,,Unknown,Signals,Going Straight Ahead,No Defects,Not Stated,5/17/2025,EF93494,-122.3309436,47.59920542
1705475,386498,Vehicle,,Unknown,Signals,Stopped at Signal or Stop Sign,No Defects,Passenger Car,5/17/2025,EF93494,-122.3309436,47.59920542
1705476,386506,Vehicle,,Concrete,No Traffic Control,Negotiatng a Curve,No Defects,Passenger Car,3/15/2025,EF78762,-122.3188549,47.68228741
1705477,386506,Vehicle,,Concrete,No Traffic Control,Slowing,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/15/2025,EF78762,-122.3188549,47.68228741
1705478,386719,Vehicle,,Blacktop,Signals,Making Left Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/28/2025,EF99192,-122.3224617,47.60170916
1705481,386368,Vehicle,,Blacktop,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/28/2025,EF72400,-122.3763956,47.67596794
1705482,386368,Vehicle,,Blacktop,Signals,Stopped for Traffic,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/28/2025,EF72400,-122.3763956,47.67596794
1705484,386638,Vehicle,25,Concrete,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/29/2025,EF97873,-122.2959244,47.57542526
1705485,386638,Vehicle,25,Concrete,No Traffic Control,Stopped for Traffic,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/29/2025,EF97873,-122.2959244,47.57542526
1705488,386294,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,2/26/2025,EF69783,-122.3617575,47.57054733
1705489,386294,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,2/26/2025,EF69783,-122.3617575,47.57054733
1705490,386609,Vehicle,,Blacktop,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/24/2025,EF79662,-122.3103215,47.63934958
1705491,386609,Vehicle,,Blacktop,Signals,Stopped at Signal or Stop Sign,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/24/2025,EF79662,-122.3103215,47.63934958
1705492,386347,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/16/2025,EF70850,-122.2644816,47.6793746
1705493,386347,Vehicle,,,,"Legally Parked, Unoccupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/16/2025,EF70850,-122.2644816,47.6793746
1705494,386542,Vehicle,,Concrete,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/11/2025,EF74740,-122.3388272,47.60462033
1705495,386542,Vehicle,,Concrete,Signals,Stopped at Signal or Stop Sign,No Defects,Passenger Car,3/11/2025,EF74740,-122.3388272,47.60462033
1705498,386656,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/16/2025,EF79752,-122.3082945,47.54717689
1705499,386656,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,1/16/2025,EF79752,-122.3082945,47.54717689
1705500,386447,Vehicle,,Blacktop,Stop Sign,Making Left Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/7/2025,EF58077,-122.3240196,47.61848907
1705501,386447,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,1/7/2025,EF58077,-122.3240196,47.61848907
1705506,386479,Vehicle,,Blacktop,Stop Sign,Making Right Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/3/2025,EF76526,-122.3553135,47.68549124
1705507,386479,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/3/2025,EF76526,-122.3553135,47.68549124
1705508,386645,Vehicle,25,Blacktop,No Traffic Control,Backing,No Defects,Passenger Car,6/2/2025,EF98392,-122.3479482,47.72504316
1705509,386645,Vehicle,,,,"Legally Parked, Unoccupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",6/2/2025,EF98392,-122.3479482,47.72504316
1705510,386751,Vehicle,25,Concrete,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,1/29/2025,EF83307,-122.3460416,47.63198871
1705511,386751,Vehicle,,,,"Legally Parked, Unoccupied",,Passenger Car,1/29/2025,EF83307,-122.3460416,47.63198871
1705519,386135,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,1/8/2025,EF62322,-122.3297981,47.65145495
1705520,386519,Vehicle,,Blacktop,Stop Sign,Stopped at Signal or Stop Sign,No Defects,Passenger Car,3/25/2025,EF79005,-122.3651131,47.66865806
1705523,386238,Vehicle,,Blacktop,Signals,Going Straight Ahead,No Defects,Truck Tractor and Semi-Trailer,2/10/2025,EF67753,-122.3041124,47.64396695
1705524,386238,Vehicle,,Blacktop,Signals,Stopped at Signal or Stop Sign,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/10/2025,EF67753,-122.3041124,47.64396695
1705529,386308,Vehicle,35,Concrete,Stop Sign,Making Left Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/12/2025,EF70347,-122.3055351,47.69393661
1705530,386308,Vehicle,35,Concrete,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,2/12/2025,EF70347,-122.3055351,47.69393661
1705531,386961,Vehicle,25,Blacktop,Signals,Going Straight Ahead,No Defects,Passenger Car,8/13/2025,EG19325,-122.3397563,47.62469254
1705534,386758,Vehicle,25,Concrete,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,3/14/2025,EF82584,-122.3471769,47.61376399
1705535,386758,Vehicle,,,,"Legally Parked, Occupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/14/2025,EF82584,-122.3471769,47.61376399
1705536,386692,Vehicle,25,Blacktop,No Traffic Control,Making Left Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/4/2025,EF80874,-122.300631,47.66798404
1705537,386692,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,3/4/2025,EF80874,-122.300631,47.66798404
1705539,385998,Vehicle,30,Concrete,Signals,Going Straight Ahead,"Other Lights, Refelectors Insufficient","Pickup, Panel Truck or Vannette Under 10,000 lbs",5/7/2025,3931778,-122.333846,47.54737682
1705540,385998,Vehicle,30,Concrete,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/7/2025,3931778,-122.333846,47.54737682
1705541,386529,Vehicle,,Blacktop,No Traffic Control,Backing,No Defects,Passenger Car,5/19/2025,EF93946,-122.3159992,47.58921832
1705542,386529,Vehicle,,,,"Legally Parked, Unoccupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/19/2025,EF93946,-122.3159992,47.58921832
