OBJECTID,COLDETKEY,ST_PARTCPNT_TYPE_DESC,ST_POSTEDSPD,ST_RDSURF_DESC,ST_TRAFCONTRL_DESC,ST_VEH_ACT_DESC,ST_VEH_CND_DESC,ST_VEH_TYPE_DESC,Incident Date,Report Number,x,y
2115643,381637,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/9/2025,EF72255,-122.3446788,47.70252066
2115656,381451,Vehicle,25,Concrete,Signals,Making Left Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/13/2025,3925943,-122.2545514,47.50635851
2115657,381451,Vehicle,25,Concrete,Signals,Going Straight Ahead,,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/13/2025,3925943,-122.2545514,47.50635851
2115661,380823,Vehicle,,Unknown,Signals,Going Straight Ahead,No Defects,Passenger Car,2/7/2025,EF63523,-122.2681737,47.52330826
2115662,380823,Vehicle,,Unknown,Signals,Stopped at Signal or Stop Sign,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/7/2025,EF63523,-122.2681737,47.52330826
2115665,380693,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/7/2025,3932274,-122.3768156,47.6936781
2115666,380693,Vehicle,,,,"Legally Parked, Unoccupied",No Defects,"Truck (Flatbed, Van, etc)",2/7/2025,3932274,-122.3768156,47.6936781
2115683,381810,Vehicle,25,Concrete,Stop Sign,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/11/2025,3930301,-122.2851726,47.68304876
2115684,381810,Vehicle,25,Concrete,Stop Sign,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/11/2025,3930301,-122.2851726,47.68304876
2115685,381810,Vehicle,25,Concrete,Stop Sign,Stopped at Signal or Stop Sign,,Passenger Car,3/11/2025,3930301,-122.2851726,47.68304876
2115686,382207,Vehicle,,Blacktop,No Traffic Control,Changing Lanes,No Defects,Motorcycle,4/14/2025,EF82947,-122.3420094,47.5714364
2115691,381478,Vehicle,25,Blacktop,No Traffic Control,Slowing,No Defects,Passenger Car,3/3/2025,EF72099,-122.333113,47.60966071
2115694,381658,Vehicle,25,Concrete,No Traffic Control,Making Right Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/29/2025,EF61140,-122.383938,47.65307178
2115695,381478,Vehicle,25,Blacktop,No Traffic Control,Slowing,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/3/2025,EF72099,-122.333113,47.60966071
2115705,381297,Vehicle,,Concrete,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,3/1/2025,EF70353,-122.3486038,47.65273318
2115706,381297,Vehicle,,Concrete,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,3/1/2025,EF70353,-122.3486038,47.65273318
2115709,381799,Vehicle,10,Blacktop,Signals,Slowing,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/16/2025,3922496,-122.3251539,47.60934365
2115714,380728,Vehicle,30,Blacktop,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/11/2025,3834432,-122.3029243,47.58454754
2115715,380728,Vehicle,30,Blacktop,Signals,Stopped for Traffic,No Defects,Passenger Car,2/11/2025,3834432,-122.3029243,47.58454754
