OBJECTID,COMPKEY,UNITID,UNITDESC,MODDTTM,CONDITION
679438,273348,SGL-459,BOREN AVE AND MADISON ST,5/21/2025,POOR
679442,273352,SGL-583,1ST AVE S AND S STACY ST,10/10/2025,POOR
679448,273359,SGL-617,16TH AVE S AND EAST MARGINAL WAY S,10/10/2025,POOR
679449,273360,SGL-738,AIRPORT WAY S AND S ROYAL BROUGHAM WAY,10/10/2025,POOR
679451,273362,SGL-56,5TH AVE AND MARION ST,10/10/2025,FAIR
679455,273366,SGL-585,1ST AVE S AND S HOLGATE ST,10/10/2025,POOR
679464,273374,SGL-496,12TH AVE S AND S JACKSON ST,10/10/2025,GOOD
679474,273384,SGL-773,GOLF DR S AND S CHARLES ST,10/10/2025,FAIR
679477,273387,SGL-4,1ST AVE S AND S KING ST,10/16/2025,FAIR
679481,273390,SGL-506,BROADWAY AND YESLER WAY,10/10/2025,FAIR
679482,273391,SGL-582,1ST AVE S AND S LANDER ST,10/10/2025,FAIR
679487,273396,SGL-174,ELLIOTT AVE AND WALL ST,8/13/2025,POOR
679490,273399,SGL-612,SW SPOKANE ST AND WEST MARGINAL WAY SW,2/27/2025,POOR
679492,273401,SGL-709,6TH AVE NW AND HOLMAN RD NW,10/10/2025,FAIR
679506,273415,SGL-14,3RD AVE S AND S JACKSON ST,10/16/2025,POOR
679507,273416,SGL-321,EASTLAKE AVE E AND E HAMLIN ST,10/10/2025,POOR
679515,273424,SGL-122,5TH AVE AND CHERRY ST,10/10/2025,GOOD
679518,273427,SGL-497,BOREN AVE S AND RAINIER AVE S,10/10/2025,GOOD
679521,273430,SGL-010,5TH AVE AND COLUMBIA ST,10/10/2025,
679523,273432,SGL-451,35TH AVE NE AND NE 95TH ST,10/10/2025,FAIR
679524,273433,SGL-571,AIRPORT WAY S AND MAYNARD AVE S,10/10/2025,POOR
679527,273436,SGL-9,OCCIDENTAL AVE S AND S JACKSON ST,10/10/2025,FAIR
679528,273437,SGL-596,EAST MARGINAL WAY S AND S IDAHO ST,10/10/2025,POOR
