OBJECTID,COMPKEY,UNITID,UNITDESC,MODDTTM,CONDITION
680204,273663,SGL-307,GREEN LAKE WAY N AND N 50TH ST,7/21/2025,POOR
680205,273664,SGL-495,12TH AVE S AND S WELLER ST,10/10/2025,FAIR
680206,273665,SGL-34,ALASKAN WR WAY AND MADISON ST,9/9/2025,FAIR
680207,273666,SGL-474,BOREN AVE AND PIKE ST,10/10/2025,POOR
680209,273668,SGL-198,9TH AVE N AND HARRISON ST,6/26/2025,POOR
680212,273671,SGL-598,EAST MARGINAL WAY S AND S HUDSON ST,10/10/2025,POOR
680218,273677,SGL-15,2ND AV ET S AND S MAIN ST,10/10/2025,POOR
680221,273681,SGL-654,DELRIDGE WAY SW AND SW ROXBURY ST,7/21/2025,GOOD
680222,273682,SGL-024,PIKE ST AND CONVENTION PL,2/24/2025,
680223,273683,SGL-025,1ST AVE NE AND NE 103RD ST,8/4/2025,
680224,273684,SGL-1028,6TH AVE AND SPRING ST,2/24/2025,
680226,273686,SGL-395,MONTLAKE BLVD NE AND NE 44TH ST,8/26/2025,POOR
680227,273688,SGL-835,M L KING JR WAY S AND S BAYVIEW S ST,10/10/2025,POOR
680237,273698,SGL-824,5TH AVE S AND S LANDER ST,10/10/2025,GOOD
680238,273699,SGL-28,5TH AVE AND JAMES ST,10/10/2025,FAIR
680240,273701,SGL-134,BOREN AVE AND FAIRVIEW AVE,2/21/2025,POOR
680241,273702,SGL-246,24TH AVE NW AND NW MARKET ST,8/7/2025,POOR
680242,273703,SGL-706,5TH AVE S AND S ROYAL BROUGHAM WAY,10/10/2025,GOOD
680243,273704,SGL-745,4TH AVE S AND S ROYAL BROUGHAM WAY,10/10/2025,POOR
680245,273706,SGL-934,CEDAR ST AND WESTERN AVE,8/13/2025,POOR
680248,273709,SGL-678,AIRPORT WAY S AND S SPOKANE ST,10/10/2025,POOR
680254,273715,SGL-62,1ST AVE AND UNIVERSITY ST,8/26/2025,FAIR
680255,273716,SGL-313,WALLINGFORD AVE N AND N 85TH ST,10/16/2025,POOR
680256,273717,SGL-59,6TH AVE AND MADISON ST,10/10/2025,GOOD
680258,273719,SGL-37,1ST AVE AND CHERRY ST,10/10/2025,FAIR
680268,273727,SGL-359,11TH AVE NE AND NE 45TH ST,3/10/2025,POOR
680272,273731,SGL-588,1ST AVE S AND S ROYAL BROUGHAM WAY,10/10/2025,FAIR
680274,273733,SGL-693,5TH AVE NW AND NW MARKET ST,10/22/2025,FAIR
680278,273737,SGL-460,MADISON ST AND SUMMIT AVE,5/19/2025,GOOD
680279,273738,SGL-401,25TH AVE NE AND NE 55TH ST,1/14/2025,POOR
680284,273742,SGL-392,NE PACIFIC PL AND NE PACIFIC ST,6/18/2025,GOOD
680286,274503,SGL-626,EASTLAKE AVE E AND STEWART ST,2/24/2025,FAIR
680288,276916,SGL-973,5TH AVE S AND S WELLER ST,7/28/2025,FAIR
680294,279913,SGL-980,7TH AVE AND CHERRY ST,10/10/2025,FAIR
680295,280726,SGL-22,4TH AVE S AND S WASHINGTON ST,10/10/2025,FAIR
680296,280729,SGL-24,4TH AVE AND JAMES ST,10/10/2025,FAIR
680297,281104,SGL-981,HARVARD AVE AND E PIKE ST,1/29/2025,GOOD
680303,282545,SGL-969,28TH AVE NW AND NW MARKET ST,10/22/2025,FAIR
680304,282547,SGL-982,GREENWOOD AVE N AND N 90TH ST,10/10/2025,GOOD
680305,282760,SGL-988,35TH AVE NE AND NE 94TH ST,10/10/2025,GOOD
680307,283992,SGL-990,5TH AVE AND JEFFERSON ST,10/10/2025,GOOD
680309,284124,SGL-996,TERRY AVE N AND VALLEY ST,10/10/2025,FAIR
680310,284216,SGL-004,I90 EB OFF RP AND RAINIER AVE S,2/24/2025,
680311,284217,SGL-011,1ST AVE NE AND NE NORTHGATE WAY,2/24/2025,
680312,285015,SGL-993,BARNES AVE NW AND NW MARKET ST,10/22/2025,GOOD
680314,286237,SGL-994,E JAMES WAY AND XW 10TH AVE,10/10/2025,GOOD
680317,286544,SGL-997,FAIRVIEW AVE N AND SLUSC N OF WARD,10/31/2025,GOOD
680318,286545,SGL-998,FAIRVIEW AVE N AND WARD ST,10/30/2025,FAIR
680354,287662,SGL-1017,13TH AVE S AND AIRPORT WAY S,10/10/2025,GOOD
680356,288305,SGL-1020,6TH AVE AND WESTLAKE AVE,1/29/2025,POOR
680365,341762,SGL-975,BOREN AVE AND SPRING ST,2/18/2025,GOOD
680366,350769,SGL-1027,SYLVAN WAY SW AND SW MORGAN W ST,10/31/2025,
680369,352535,SGL-1033,ALASKAN WAY AND LENORA ST,10/30/2025,
680374,488364,SGL-1038,5TH AVE NE AND NE 50TH ST,2/24/2025,
680375,488376,SGL-1039,7TH AVE NE AND NE 50TH ST,2/24/2025,
680380,492497,SGL-1044,LINDEN AVE N AND N 46TH ST,10/22/2025,
680384,530846,SGL-1048,4TH AVE S AND W SEA BR EB 4 AV OFF RP,10/10/2025,GOOD
680386,531857,SGL-1050,1ST AVE S AND S MASSACHUSETTS ST,10/10/2025,GOOD
680387,539847,SGL-1051,COLORADO AVE S AND S ATLANTIC ST,10/10/2025,GOOD
680388,539848,SGL-1052,COLORADO AVE S AND S ROYAL BROUGHAM WAY,10/10/2025,GOOD
680389,540600,SGL-1053,1ST AVE S AND RAILROAD N WAY S,10/10/2025,GOOD
680391,547803,SGL-1055,ELLIOTT AVE AND VINE ST,8/13/2025,GOOD
680392,547898,SGL-1056,ALASKAN WR WAY S AND S KING ST,10/10/2025,GOOD
680393,554856,SGL-1057,ALASKAN WAY S AND S ATLANTIC ST,10/10/2025,GOOD
680394,567566,SGL-1058,S JACKSON ST BETWEEN 12TH AVE S AND 14TH AVE S,10/10/2025,
680400,577992,SGL-1064,ALASKAN WR WAY S AND S JACKSON ST,10/22/2025,GOOD
680404,582429,SGL-1068,1ST AVE S AND S WALKER ST,10/10/2025,GOOD
680409,592198,SGL-1072,BROADWAY AND TERRACE ST,10/10/2025,
680412,596487,SGL-1078,DEXTER AVE N AND REPUBLICAN ST,6/18/2025,
680416,613216,SGL-1083,COLORADO AVE S AND S ATLANTIC ST,10/10/2025,
680418,614108,SGL-1085,EASTLAKE AVE E AND PROSPECT ST,10/10/2025,
680421,619373,SGL-1089,EASTLAKE AVE E AND E ALLISON ST,10/20/2025,
680425,629093,SGL-1094,6TH AVE N AND MERCER ST,10/10/2025,
680426,629239,SGL-1095,8TH AVE AND YESLER WAY,10/10/2025,
680428,631425,SGL-1097,JAMES ST AND TERRY AVE,10/10/2025,
680430,639958,SGL-1100,SR520 WB AND SR520 WB MONTLAKE BV OFF RP,2/24/2025,
680432,641936,SGL-1102,MELROSE AVE AND PIKE ST,10/10/2025,
680450,676684,SGL-1120,AIRPORT WAY S AND S DORIS ST,10/10/2025,
680458,724995,SGL-1133,4TH AVE S AND S FRONT ST,10/10/2025,
680461,729667,SGL-1136,GREENWOOD AVE N AND N 100TH ST,10/10/2025,
680462,729668,SGL-1137,13TH AVE NW AND HOLMAN E RD NW,10/10/2025,
680463,730275,SGL-1138,PIER 91 ACCESS RD AND W GALER ST FLYOVER,7/21/2025,
680469,750388,SGL-1144,RAINIER AVE S AND S KING ST,10/10/2025,
